Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2000-02-25,1375.0,1375.0,1375.0,,,1375.0,0.0,0.0
2000-02-24,1392.0,1392.0,1392.0,,,1392.0,0.0,0.0
2000-02-23,1402.0,1402.0,1402.0,,,1402.0,0.0,0.0
2000-02-22,1386.0,1386.0,1386.0,,,1386.0,0.0,0.0
2000-02-18,1391.0,1391.0,1391.0,,,1391.0,0.0,0.0
2000-02-17,1423.0,1423.0,1423.0,,,1423.0,0.0,0.0
2000-02-16,1431.0,1431.0,1431.0,,,1431.0,0.0,0.0
2000-02-15,1448.0,1448.0,1448.0,,,1448.0,0.0,0.0
2000-02-14,1437.0,1437.0,1437.0,,,1437.0,0.0,0.0
2000-02-11,1435.0,1435.0,1435.0,,,1435.0,0.0,0.0
2000-02-10,1458.0,1458.0,1458.0,,,1458.0,0.0,0.0
2000-02-09,1457.0,1457.0,1457.0,,,1457.0,0.0,0.0
2000-02-08,1485.0,1485.0,1485.0,,,1485.0,0.0,0.0
2000-02-07,1466.0,1466.0,1466.0,,,1466.0,0.0,0.0
2000-02-04,1470.0,1470.0,1470.0,,,1470.0,0.0,0.0
2000-02-03,1475.0,1475.0,1475.0,,,1475.0,0.0,0.0
2000-02-02,1454.0,1454.0,1454.0,,,1454.0,0.0,0.0
2000-02-01,1455.0,1455.0,1455.0,,,1455.0,0.0,0.0
2000-01-31,1439.0,1439.0,1439.0,,,1439.0,0.0,0.0
2000-01-28,1404.0,1404.0,1404.0,,,1404.0,0.0,0.0
2000-01-27,1447.0,1447.0,1447.0,,,1447.0,0.0,0.0
2000-01-26,1453.0,1453.0,1453.0,,,1453.0,0.0,0.0
2000-01-25,1456.0,1456.0,1456.0,,,1456.0,0.0,0.0
2000-01-24,1450.0,1450.0,1450.0,,,1450.0,0.0,0.0
2000-01-21,1493.0,1493.0,1493.0,,,1493.0,0.0,0.0
2000-01-20,1496.0,1496.0,1496.0,,,1496.0,0.0,0.0
2000-01-19,1512.0,1512.0,1512.0,,,1512.0,0.0,0.0
2000-01-18,1509.0,1509.0,1509.0,,,1509.0,0.0,0.0
2000-01-14,1518.0,1518.0,1518.0,,,1518.0,0.0,0.0
2000-01-13,1498.0,1498.0,1498.0,,,1498.0,0.0,0.0
2000-01-12,1481.0,1481.0,1481.0,,,1481.0,0.0,0.0
2000-01-11,1493.0,1493.0,1493.0,,,1493.0,0.0,0.0
2000-01-07,1499.0,1499.0,1499.0,,,1499.0,0.0,0.0
